,y_true,y_pred
0,4.0,3.7967734
1,3.5,3.7452168
2,4.0,3.7594278
3,3.5,3.7307096
4,3.5,3.6790938
5,4.0,3.5828986
6,4.0,3.7036107
7,4.0,3.728379
8,3.5,3.6217496
9,3.0,3.583102
10,4.0,3.8435712
11,3.5,3.8264055
12,3.5,3.8566685
13,4.0,3.7901058
14,4.0,3.4793563
15,3.5,4.0595427
16,3.5,3.966648
17,4.0,3.7443435
18,4.0,3.944527
19,3.0,3.859054
20,3.5,3.7992883
21,4.0,3.9551344
22,3.5,3.6037755
23,4.0,3.5594997
24,3.5,4.0837984
25,4.0,3.826846
26,3.5,3.6922598
27,4.0,3.4624755
28,3.5,3.6354203
29,3.5,3.5885441
30,4.0,3.851943
31,3.5,3.559216
32,3.0,3.8002322
33,3.5,3.5026557
34,3.5,3.920547
35,5.0,3.6862538
36,3.0,3.634105
37,5.0,3.8022614
38,2.0,3.8400846
39,4.0,3.6810882
40,3.0,4.0014987
41,2.0,4.265263
42,5.0,3.5659933
43,4.0,3.7902408
44,5.0,3.735577
45,5.0,3.314292
46,3.0,4.229332
47,5.0,3.7166016
48,5.0,4.4058967
49,5.0,4.0778036
50,5.0,3.773447
51,3.0,4.027916
52,4.0,3.514538
53,4.0,3.5363016
54,1.0,4.086609
55,3.0,3.938955
56,4.0,4.130632
57,5.0,4.1096773
58,3.0,3.7433655
59,5.0,3.986431
60,4.0,4.1435466
61,5.0,4.135355
62,4.0,4.0169263
63,3.0,3.801848
64,2.0,3.5617414
65,5.0,3.573728
66,5.0,4.070716
67,3.0,3.6326451
68,5.0,3.9465387
69,5.0,3.7567482
70,4.0,3.9975746
71,4.0,3.9597626
72,4.0,4.230157
73,3.0,3.9184842
74,4.0,3.6787267
75,3.0,3.8530126
76,4.0,4.190831
77,4.0,3.7606902
78,5.0,3.7865558
79,3.0,4.1826057
80,5.0,4.1045947
81,5.0,3.4581072
82,3.0,4.0519133
83,3.0,3.7654505
84,5.0,3.9502532
85,4.0,3.995336
86,4.0,3.6339612
87,3.0,4.0003896
88,3.0,3.4002755
89,4.0,3.7514405
90,3.0,3.3650458
91,4.0,3.5618117
92,5.0,3.4812891
93,5.0,3.774185
94,2.0,3.509341
95,4.0,3.7890992
96,3.0,3.6808946
97,5.0,3.8112392
98,4.0,3.6059809
99,5.0,3.5611522
100,5.0,3.3873565
101,5.0,3.781105
102,3.0,3.6629946
103,5.0,3.770361
104,4.0,3.6970725
105,5.0,3.3764157
106,4.0,3.614771
107,3.0,3.705887
108,3.0,3.8695817
109,3.0,3.7723072
110,4.0,3.5255098
111,4.0,3.2807856
112,4.0,3.2082362
113,3.0,3.1163154
114,2.0,3.242004
115,3.0,3.3686442
116,2.0,3.210021
117,3.0,3.188964
118,4.0,3.127368
119,4.0,3.2758985
120,3.0,3.3196392
121,4.0,3.2538762
122,4.0,3.304316
123,5.0,3.334546
124,4.0,3.2706842
125,4.0,3.3843968
126,4.0,3.3328161
127,3.0,3.2965996
128,5.0,3.3091743
129,4.0,3.322315
130,4.0,3.2358265
131,3.0,3.1899736
132,4.0,3.262994
133,2.0,3.2013414
134,3.0,3.5017753
135,3.0,3.231021
136,4.0,3.165314
137,3.0,3.2678115
138,3.0,3.2437673
139,4.0,3.4709961
140,3.0,3.0102894
141,3.0,3.2747064
142,3.0,3.1434388
143,4.0,3.2940114
144,3.0,3.4189782
145,4.0,3.312094
146,3.0,3.3205113
147,4.0,3.2505603
148,4.0,3.3598435
149,3.0,3.1671865
150,3.0,3.5073195
151,2.0,3.1784735
152,4.0,3.1928222
153,4.0,3.386541
154,3.0,3.3433912
155,5.0,3.3103824
156,3.0,3.302144
157,3.0,3.4904559
158,3.0,3.2205892
159,3.0,3.4274921
160,2.0,3.2032366
161,4.0,3.1119208
162,4.0,3.1439197
163,5.0,3.3816128
164,3.0,3.2347395
165,4.0,3.550323
166,3.0,3.371121
167,4.0,4.062233
168,2.0,3.7284338
169,4.0,3.9123607
170,3.0,3.5771668
171,4.0,3.8500016
172,4.0,3.7145593
173,4.0,3.9765894
174,3.0,3.4234986
175,4.0,3.667162
176,4.0,3.5277245
177,3.0,4.007367
178,1.0,4.0960193
179,4.0,3.5326598
180,4.0,3.7320282
181,3.0,3.485567
182,3.0,3.6450741
183,2.0,3.3456836
184,5.0,3.532321
185,5.0,3.4582791
186,4.0,3.357172
187,4.0,3.660743
188,4.0,4.057554
189,5.0,3.972248
190,4.0,3.83878
191,4.0,3.9047706
192,4.0,3.4434953
193,3.0,3.8621862
194,4.0,4.168553
195,4.0,4.2026334
196,5.0,3.508578
197,2.0,3.9516788
198,4.0,4.6223598
199,4.5,3.6396925
200,5.0,4.1805162
201,5.0,3.6738005
202,2.5,4.086873
203,4.0,4.152227
204,5.0,3.7872443
205,4.5,3.9474852
206,5.0,4.034861
207,2.5,4.005582
208,4.5,4.1251783
209,3.0,4.0395885
210,0.5,4.592515
211,4.0,3.7500706
212,3.0,4.18312
213,5.0,3.758624
214,2.0,4.264783
215,2.0,4.241483
216,4.0,3.87242
217,5.0,3.958706
218,2.5,3.8317037
219,4.5,4.3026857
220,5.0,3.7379336
221,4.0,3.70577
222,1.5,3.9401784
223,5.0,3.7712529
224,4.0,4.0316224
225,4.0,3.6548743
226,4.0,3.8225746
227,4.5,3.7191207
228,5.0,4.2198186
229,4.5,3.9577084
230,5.0,3.5693595
231,5.0,4.1665583
232,5.0,4.0060935
233,4.5,3.5608184
234,5.0,3.480499
235,5.0,3.9610887
236,3.5,4.5056086
237,3.5,3.533383
238,4.5,3.9368858
239,3.5,4.25954
240,4.5,3.6059644
241,4.0,3.663516
242,1.5,3.0927374
243,4.5,3.546912
244,4.5,3.7688894
245,4.5,4.124408
246,4.0,4.2271314
247,3.5,4.137918
248,5.0,3.7339475
249,5.0,3.6746879
250,5.0,4.2263517
251,4.0,3.5442255
252,3.5,4.028047
253,4.5,4.232592
254,0.5,3.8498576
255,2.0,3.7812827
256,1.0,4.0448675
257,3.5,4.3309293
258,4.5,3.8314881
259,3.0,3.8498158
260,5.0,4.293149
261,4.5,3.601682
262,4.0,4.1143675
263,5.0,3.9454606
264,4.0,4.1923676
265,5.0,3.9077826
266,4.5,4.2935505
267,4.5,4.262391
268,5.0,3.7684274
269,1.5,4.367285
270,5.0,3.7377884
271,4.0,3.4843113
272,5.0,3.9506333
273,5.0,3.63459
274,2.0,3.3273954
275,4.0,3.5167828
276,4.0,3.8004162
277,4.0,3.980117
278,5.0,3.8517113
279,1.5,3.3793874
280,5.0,3.7027006
281,4.5,4.305683
282,4.5,4.025279
283,4.0,3.8220663
284,3.0,3.972332
285,5.0,4.0010066
286,4.5,3.9556332
287,3.0,4.1747494
288,4.5,4.0246606
289,3.0,4.447846
290,5.0,3.8319147
291,5.0,4.2893524
292,4.5,3.7962532
293,2.0,4.053675
294,3.5,3.690013
295,4.5,3.8954856
296,4.5,3.7364843
297,4.0,4.0533276
298,4.0,4.076386
299,4.0,3.72538
300,4.0,3.7119107
301,4.0,4.102656
302,3.0,4.0814266
303,3.0,3.518363
304,3.0,4.229571
305,3.0,3.7333422
306,3.0,4.194728
307,4.0,3.8746195
308,5.0,3.5682898
309,4.0,3.676039
310,5.0,3.6284432
311,3.0,3.7205472
312,4.0,3.7200599
313,4.0,3.6684105
