,y_true,y_pred
0,3.5,3.49742
1,4.0,3.5395966
2,4.0,3.5347574
3,3.5,3.5227044
4,3.5,3.333803
5,3.5,3.6165233
6,4.0,3.7410908
7,3.5,3.639248
8,4.0,3.5215607
9,4.0,3.4740098
10,4.0,3.4361634
11,3.5,3.8116796
12,3.5,3.5118804
13,3.5,3.5977218
14,3.5,3.434759
15,3.0,3.4883292
16,4.0,3.5629447
17,3.5,3.4545972
18,4.0,3.4089122
19,3.5,3.4701312
20,3.5,3.5141616
21,4.0,3.5461614
22,3.5,3.6028035
23,4.0,3.540732
24,3.5,3.6600888
25,4.0,3.5666864
26,3.0,3.5358622
27,3.5,3.680637
28,3.5,3.52293
29,3.5,3.2661915
30,4.0,3.5598881
31,4.0,3.6101882
32,4.0,3.525267
33,3.5,3.5244267
34,4.0,3.508209
35,5.0,3.524859
36,5.0,3.4560266
37,2.0,3.6805632
38,5.0,3.5387967
39,2.0,3.3774533
40,2.0,3.8139033
41,4.0,3.5778441
42,5.0,3.1080701
43,5.0,3.6262968
44,4.0,3.6137607
45,3.0,3.4843385
46,5.0,3.5046723
47,5.0,3.5162692
48,5.0,3.7692523
49,5.0,3.5271301
50,4.0,3.4135942
51,3.0,3.6551898
52,4.0,3.6613238
53,5.0,3.619938
54,3.0,3.7246118
55,3.0,3.5678408
56,4.0,3.5604076
57,5.0,3.4031918
58,4.0,3.5641587
59,5.0,3.4922628
60,3.0,3.6177971
61,4.0,3.5870974
62,5.0,3.6318133
63,4.0,3.4695642
64,4.0,3.4583929
65,3.0,3.5711653
66,4.0,3.5042584
67,5.0,3.4754517
68,4.0,3.5136466
69,4.0,3.4514973
70,5.0,3.5555336
71,5.0,3.5071592
72,3.0,3.4336033
73,5.0,3.536948
74,5.0,3.4792824
75,5.0,3.7113676
76,3.0,3.4988077
77,5.0,3.4401414
78,4.0,3.4886105
79,4.0,3.2788343
80,4.0,3.554903
81,4.0,3.755639
82,5.0,3.702093
83,4.0,3.6130586
84,5.0,3.5328937
85,4.0,3.433878
86,3.0,3.4548328
87,3.0,3.624824
88,4.0,3.62593
89,1.0,3.3932867
90,5.0,3.4995892
91,4.0,3.6082296
92,3.0,3.480702
93,5.0,3.4443321
94,4.0,3.4202914
95,3.0,3.6225235
96,5.0,3.45323
97,5.0,3.5124168
98,5.0,3.4332402
99,4.0,3.532809
100,5.0,3.5255442
101,5.0,3.4557993
102,5.0,3.4545634
103,4.0,3.4428844
104,2.0,3.6113613
105,4.0,3.498316
106,4.0,3.4388907
107,5.0,3.6229029
108,4.0,3.4321573
109,5.0,3.7972865
110,5.0,3.471905
111,4.0,3.6086774
112,3.0,3.6120188
113,4.0,3.465822
114,1.0,3.5443883
115,2.0,3.5978448
116,3.0,3.5113752
117,2.0,3.4718857
118,3.0,3.7083678
119,4.0,3.667647
120,4.0,3.470473
121,2.0,3.5751996
122,2.0,3.5131216
123,3.0,3.5939937
124,4.0,3.5861993
125,4.0,3.5193622
126,3.0,3.4133773
127,3.0,3.4049866
128,4.0,3.5158107
129,4.0,3.5995717
130,2.0,3.436131
131,4.0,3.4463067
132,3.0,3.4214196
133,4.0,3.5064447
134,4.0,3.6705825
135,3.0,3.3963425
136,5.0,3.4553056
137,3.0,3.6344337
138,4.0,3.6401763
139,4.0,3.6331038
140,5.0,3.5498273
141,5.0,3.5540764
142,3.0,3.6042247
143,5.0,3.5376067
144,4.0,3.5571442
145,5.0,3.5531664
146,4.0,3.576538
147,3.0,3.540046
148,3.0,3.5028822
149,3.0,3.6130013
150,3.0,3.583671
151,5.0,3.4257572
152,4.0,3.3814342
153,2.0,3.563304
154,3.0,3.6129818
155,3.0,3.5923235
156,3.0,3.3206594
157,4.0,3.5146961
158,3.0,3.5542266
159,3.0,3.5137136
160,3.0,3.5156438
161,3.0,3.4658926
162,4.0,3.5425365
163,4.0,3.4701428
164,3.0,3.5511074
165,4.0,3.5668142
166,4.0,3.5610454
167,4.0,3.5772793
168,3.0,3.5525503
169,3.0,3.4202576
170,3.0,3.5654202
171,5.0,3.401064
172,5.0,3.5052752
173,4.0,3.5771286
174,1.0,3.4346156
175,4.0,3.448634
176,4.0,3.5750084
177,4.0,3.5666108
178,4.0,3.5554895
179,4.0,3.5717244
180,4.0,3.5811768
181,3.0,3.545841
182,2.0,3.4420485
183,3.0,3.617262
184,2.0,3.6009974
185,4.0,3.6294863
186,2.0,3.5549097
187,2.0,3.6068106
188,3.0,3.6184878
189,3.0,3.7062645
190,4.0,3.686159
191,4.0,3.6395068
192,4.0,3.5872548
193,5.0,3.6713557
194,5.0,3.509462
195,4.0,3.6051097
196,2.5,3.5920362
197,4.0,3.3276615
198,4.5,3.3872566
199,3.0,3.4365947
200,3.5,3.559138
201,4.5,3.5212543
202,3.5,3.4689903
203,3.5,3.4909236
204,5.0,3.5428362
205,5.0,3.5612347
206,4.5,3.4641042
207,3.0,3.5051045
208,4.0,3.5834982
209,4.5,3.6400638
210,2.0,3.5625174
211,4.0,3.5798464
212,4.0,3.7854826
213,4.0,3.5680046
214,3.0,3.4804096
215,4.5,3.496549
216,5.0,3.3494518
217,4.0,3.598405
218,4.0,3.5942657
219,3.0,3.5033593
220,1.0,3.5297823
221,3.5,3.507309
222,5.0,3.5190687
223,5.0,3.5323877
224,2.5,3.4927661
225,4.5,3.6058671
226,5.0,3.6330478
227,4.5,3.6207926
228,5.0,3.5228426
229,5.0,3.5353715
230,1.5,3.6322196
231,4.5,3.3829427
232,4.0,3.6064682
233,2.0,3.4744692
234,3.5,3.483921
235,5.0,3.5123434
236,5.0,3.5583296
237,5.0,3.4047117
238,3.0,3.6494107
239,5.0,3.450422
240,4.5,3.56626
241,4.5,3.5367804
242,5.0,3.5940206
243,5.0,3.387093
244,4.5,3.5977168
245,5.0,3.4142423
246,4.5,3.546801
247,3.0,3.4986253
248,4.5,3.607787
249,4.0,3.1253421
250,2.5,3.640989
251,5.0,3.5053997
252,2.0,3.2997906
253,4.5,3.706761
254,5.0,3.5044415
255,3.5,3.6515193
256,3.5,3.5038373
257,3.5,3.4440358
258,5.0,3.5460095
259,5.0,3.633823
260,4.0,3.6650047
261,4.5,3.6292174
262,3.5,3.778104
263,2.5,3.6574216
264,4.5,3.5124552
265,5.0,3.5030737
266,1.5,3.6089494
267,4.0,3.6237872
268,5.0,3.3695123
269,0.5,3.5162296
270,4.5,3.7788773
271,4.0,3.4490461
272,5.0,3.3325205
273,2.0,3.4981608
274,4.5,3.5176177
275,3.5,3.3660898
276,4.5,3.4679005
277,5.0,3.5149107
278,2.5,3.6437178
279,2.0,3.575188
280,4.5,3.5213053
281,3.5,3.5199943
282,4.5,3.184471
283,4.0,3.4936414
284,5.0,3.6474745
285,3.0,3.5283575
286,5.0,3.460104
287,5.0,3.6946456
288,5.0,3.560579
289,5.0,3.6221893
290,4.0,3.5714433
